Handle    	Owner               	Type                	Memory    	Time Created                  
0x12200e21	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:50:19         
0xc2b00e24	UNKNOWN             	IBaseMenu           	1280      	12/12/2022 - 18:51:39         
0x98300e25	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:31         
0x5cd00e26	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:02:41         
0x76f00e27	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:43:08         
0xb1500e28	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:28:45         
0x48b00e29	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:45:55         
0x07800e2a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:07         
0x60c00e2c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:11         
0xbfc00e2d	vip/VIP_Core.smx    	Trie                	604       	12/12/2022 - 20:44:08         
0xc3b00e2e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:50:59         
0x10c00e30	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:51:01         
0x58b00e31	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:37         
0x2b000e32	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:50:47         
0xd8c00e33	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:18:32         
0x60a00e34	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:16         
0x08f00e35	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:49         
0x4f500e37	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:35:23         
0x35e00e3a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:43         
0x72b00e3b	custom/AntiBhopCheat	CellArray           	84        	12/12/2022 - 20:39:04         
0x4bc00e3c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:36         
0x8c500e3d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:01:43         
0xceb00e3e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:58:45         
0xa8300e3f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:17:41         
0xc3c00e40	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:50:59         
0xdb200e41	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:01         
0xd8b00e42	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:07:46         
0xa3b00e43	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:49:43         
0xfcd00e44	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:51:16         
0xdaa00e45	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:53:47         
0x30200e46	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:05:20         
0xa6500e47	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:52         
0xa6400e48	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:52         
0xd0200e4c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:45         
0xb9e00e4d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:16:58         
0x8e500e4e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:30:36         
0x98c00e4f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:07:37         
0xc3900e50	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:37         
0x6aa00e51	custom/AntiBhopCheat	CellArray           	84        	12/12/2022 - 20:39:03         
0x4a000e52	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:05:15         
0x9cb00e54	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:59         
0x58300e55	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:51:47         
0xd7e00e57	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:24         
0xac000e58	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:20:38         
0xb2400e59	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:00:38         
0x02600e5a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:55:22         
0x4af00e5b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:45         
0x5b900e5c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:10         
0xe7d00e5d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:50         
0x98200e5e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:20         
0xf1800e5f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x01200e60	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:06         
0x48b00e61	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:34         
0x19800e62	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:25         
0xc8c00e64	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:10:05         
0x7e700e65	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:38:27         
